state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Kerala,Ernakulam,Keezhampara VFPCK APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Grade A,2025-12-28,3500.0,3500.0,3500.0
West Bengal,Paschim Bardhaman,Asansol APMC,Wheat,Kalyan,FAQ,2025-12-28,2650.0,2850.0,2700.0
West Bengal,Paschim Bardhaman,Asansol APMC,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2025-12-28,11950.0,12200.0,12100.0
Odisha,Boudh,Boudh APMC,Onion,Other,Local,2025-12-28,1500.0,2500.0,2000.0
West Bengal,Paschim Bardhaman,Asansol APMC,Masur Dal,Masur Dal,FAQ,2025-12-28,9650.0,9825.0,9700.0
Kerala,Kannur,Irityy APMC,Copra,Other,FAQ,2025-12-28,15000.0,17000.0,16000.0
West Bengal,Paschim Bardhaman,Asansol APMC,Potato,Jyoti,FAQ,2025-12-28,1200.0,1260.0,1240.0
Uttar Pradesh,Sambhal,Sambhal APMC,Cauliflower,Cauliflower,FAQ,2025-12-28,1000.0,1100.0,1050.0
Kerala,Kannur,Irityy APMC,Rubber,Other,FAQ,2025-12-28,16000.0,18000.0,17000.0
Tripura,North Tripura,Dasda APMC,Onion,Onion,FAQ,2025-12-28,2700.0,2900.0,2800.0
Tripura,North Tripura,Dasda APMC,Potato,Other,FAQ,2025-12-28,1500.0,1700.0,1600.0
Tripura,North Tripura,Dasda APMC,Cauliflower,Cauliflower,FAQ,2025-12-28,4100.0,4300.0,4200.0
Madhya Pradesh,Raisen,Udaipura APMC,Paddy(Common),Paddy,FAQ,2025-12-28,3800.0,3900.0,3900.0
Karnataka,Davangere,Honnali APMC,Arecanut(Betelnut/Supari),EDI,Local,2025-12-28,25100.0,27500.0,26724.0
Tamil Nadu,Villupuram,Tindivanam APMC,Maize,Deshi Red,Local,2025-12-28,3800.0,3800.0,3800.0
Tamil Nadu,Ranipet,Ranipettai(Uzhavar Sandhai ) APMC,Maize,Deshi Red,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Thiruvannamalai,Polur(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,2025-12-28,4200.0,5000.0,4600.0
Tamil Nadu,Thiruvarur,Tiruthuraipoondi(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,2025-12-28,7000.0,7000.0,7000.0
Tamil Nadu,Nagapattinam,Sirkali(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,2025-12-28,5500.0,6000.0,5750.0
Tamil Nadu,Nagapattinam,Nagapattinam(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,2025-12-28,6000.0,6000.0,6000.0
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,2025-12-28,7000.0,8000.0,7500.0
Tamil Nadu,Villupuram,Tindivanam APMC,Groundnut,Big (With Shell),Local,2025-12-28,6500.0,6500.0,6500.0
Tamil Nadu,Villupuram,Gingee(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,2025-12-28,5000.0,5000.0,5000.0
Tamil Nadu,Madurai,Melur(Uzhavar Sandhai ) APMC,Groundnut,Big (With Shell),Local,2025-12-28,6500.0,7500.0,7000.0
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ) APMC,Soyabean,Local,Local,2025-12-28,13000.0,15000.0,14000.0
Tamil Nadu,Virudhunagar,Rajapalayam(Uzhavar Sandhai ) APMC,Soyabean,Local,Local,2025-12-28,15000.0,16000.0,15500.0
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ) APMC,Soyabean,Local,Local,2025-12-28,10000.0,11000.0,10500.0
Tamil Nadu,Chengalpattu,Guduvancheri(Uzhavar Sandhai ) APMC,Apple,American,Local,2025-12-28,14000.0,15000.0,14500.0
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ) APMC,Apple,American,Local,2025-12-28,16000.0,18000.0,17000.0
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Apple,American,Local,2025-12-28,15000.0,15000.0,15000.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ) APMC,Orange,Darjeeling,Local,2025-12-28,10000.0,12000.0,11000.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Orange,Darjeeling,Local,2025-12-28,10000.0,16000.0,13000.0
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ) APMC,Orange,Darjeeling,Local,2025-12-28,7000.0,8000.0,7500.0
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ) APMC,Banana,Besrai,Local,2025-12-28,5000.0,12000.0,8500.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ) APMC,Banana,Besrai,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Banana,Besrai,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Banana,Besrai,Local,2025-12-28,3000.0,4000.0,3500.0
Tamil Nadu,Nagapattinam,Sirkali(Uzhavar Sandhai ) APMC,Banana,Besrai,Local,2025-12-28,4000.0,5000.0,4500.0
Tamil Nadu,The Nilgiris,Gudalur(Uzhavar Sandhai ) APMC,Banana,Besrai,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Villupuram,Ulundurpettai APMC,Banana,Besrai,Local,2025-12-28,3000.0,4000.0,3500.0
Tamil Nadu,Thirupathur,Vaniyampadi(Uzhavar Sandhai ) APMC,Mango,Safeda,Local,2025-12-28,10000.0,10000.0,10000.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Grapes,Annabesahai,Local,2025-12-28,8000.0,8000.0,8000.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Grapes,Annabesahai,Local,2025-12-28,10000.0,10000.0,10000.0
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ) APMC,Grapes,Annabesahai,Local,2025-12-28,9000.0,10000.0,9500.0
Tamil Nadu,Madurai,Usilampatti(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,3500.0,4200.0,3850.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,3700.0,4000.0,3850.0
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Erode,Sathiyamagalam(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,3000.0,4000.0,3500.0
Tamil Nadu,Vellore,Vellore APMC,Onion,Bellary,Local,2025-12-28,2500.0,3200.0,2850.0
Tamil Nadu,Theni,Periyakulam(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,3600.0,3800.0,3700.0
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,4000.0,4600.0,4300.0
Tamil Nadu,Tuticorin,Kovilpatti(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,4000.0,4500.0,4250.0
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Coimbatore,Kurichi(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,3200.0,3600.0,3400.0
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,2000.0,2500.0,2250.0
Tamil Nadu,Erode,Thalavadi(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,3400.0,3800.0,3600.0
Tamil Nadu,Nagapattinam,Sirkali(Uzhavar Sandhai ) APMC,Onion,Bellary,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2025-12-28,4000.0,4500.0,4250.0
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2025-12-28,3500.0,3500.0,3500.0
Tamil Nadu,Erode,Thalavadi(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2025-12-28,3800.0,4200.0,4000.0
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2025-12-28,2000.0,3000.0,2500.0
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2025-12-28,5000.0,5000.0,5000.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Potato,Red Nanital,Local,2025-12-28,4000.0,5000.0,4500.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Garlic,Average,Local,2025-12-28,12000.0,12000.0,12000.0
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ) APMC,Garlic,Average,Local,2025-12-28,14000.0,15000.0,14500.0
